title,categories,address,agent,price,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_per_day_₦,price_per_month_₦,price_per_year_₦,date_posted,date_updated,state
5 Bedroom Apartment,5 BEDROOM HOUSE FOR SHORTLET,Professor Jubril Aminu Parkview Estate Ikoyi Lagos,sarah-asuquo,"  200,000/day ", 7HMAD,True,True,True,5,5,6,200000,6000000,73000000,2022-10-24,2023-08-13,Lagos
Executive Newly 5 Bedroom Duplex,5 BEDROOM FLAT / APARTMENT FOR SHORTLET,... Lekki Phase 1 Lekki Lagos,franklin15,"  165,000/day ", 8EAAY,False,False,True,5,5,6,165000,4950000,60225000,2020-11-11,2023-08-11,Lagos
5 Bedroom Duplex Lekki Phase One,5 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Phase 1 Lekki Lagos,franklin15,"  170,000/day ", 3EQXE,False,False,True,5,5,6,170000,5100000,62050000,2021-05-09,2023-08-11,Lagos
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SHORTLET,Lekki County Homes Ikota Ikota Lekki Lagos,zete-limited,"  95,000/day ", 7FBSQ,False,False,True,5,5,6,95000,2850000,34675000,2021-07-26,2023-08-09,Lagos
5 Bedroom Flat,5 BEDROOM FLAT / APARTMENT FOR SHORTLET,Victoria Island Lagos,kennedy-otunku,"  200,000/day ", 4HTDA,True,True,True,5,5,6,200000,6000000,73000000,2022-12-13,2023-08-11,Lagos
Furnished 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SHORTLET,Apo Abuja,eniji-international-limited,"  270,000/day ", 7JQFM,True,True,True,5,5,6,270000,8100000,98550000,2023-06-12,2023-08-13,Abuja
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SHORTLET,Lekki Lagos,future-pride-homes-and-properties-ltd,"  300,000/day ", 9HQUE,False,False,True,5,5,5,300000,9000000,109500000,2022-11-23,2023-07-31,Lagos
5 Bedrooms Detached Duplex,5 BEDROOM HOUSE FOR SHORTLET,"Majekodunmi Street Opebi, Allen Opebi Ikeja Lagos",jucropsintegratedserviceslimitedcom,"  3,000,000/year ", 9ECVE,False,False,False,5,4,4,8219.17808219178,250000.0,3000000,2020-12-16,2023-08-09,Lagos
Newly Built Tastefully Finished Luxurious 5 Bedroom Fully Serviced Detached Duplex,5 BEDROOM HOUSE FOR SHORTLET,Bridge Gate Estate Agungi Lekki Lagos,king-palace-consulting,"  120,000/day ", 6EFMP,True,True,True,5,5,6,120000,3600000,43800000,2021-01-26,2023-08-09,Lagos
Beautiful 5 Bedroom Duplex,5 BEDROOM HOUSE FOR SHORTLET,Bridge Gate Estate Agungi Lekki Lagos,property-magnate,"  130,000/day ", 8HVWR,False,True,True,5,6,6,130000,3900000,47450000,2023-01-09,2023-08-09,Lagos
4 Bedroom Duplex,5 BEDROOM HOUSE FOR SHORTLET,Osapa London Lekki Lagos,future-pride-homes-and-properties-ltd,"  380,000/day ", 1HUWW,False,False,False,5,5,4,380000,11400000,138700000,2022-12-27,2023-07-31,Lagos
5 Bedroom Detached Duplex,5 BEDROOM DETACHED DUPLEX FOR SHORTLET,. Lekki Lagos,No agent,"  90,000 ", 4CAJZ,False,True,True,5,5,6,90000,1080000,32850000,2019-02-12,,Lagos
Executive 5 Bedroom Apartment With Excellent Facilities Comes With Swimming Pool,5 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,franklin15,"  180,000/day ", 0FSEU,False,True,True,5,5,6,180000,5400000,65700000,2021-11-23,2023-08-11,Lagos
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SHORTLET,Kolapo Ishola Gra Akobo General Gas Area Akobo Ibadan Oyo,zafiro-homes-and-events,"  220,000/day ", 6HHFD,True,True,True,5,5,6,220000,6600000,80300000,2022-09-23,2023-08-09,Oyo
Amazing 5 Bedroom Stand Alone Duplex With Private Snooker Board,5 BEDROOM HOUSE FOR SHORTLET,Chevron Lekki Lagos,franklin15,"  120,000/day ", 5FFJK,False,False,True,5,5,6,120000,3600000,43800000,2021-08-23,2023-08-11,Lagos
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SHORTLET,Asokoro Abuja,bright-innocent1,"  130,000/day ", 3HVRC,True,True,True,5,5,6,130000,3900000,47450000,2023-01-06,2023-08-02,Abuja
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SHORTLET,Ikate Lekki Ikate Lekki Lagos,firmwealth-realtors,"  150,000 ", 7GDJS,False,False,True,5,5,6,150000,1800000,54750000,2022-03-02,2023-08-09,Lagos
Furnished 5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR SHORTLET,Lekki Phase 1 Lekki Lagos,joan-ama,"  200,000/day ", 5HJAA,False,True,True,5,5,6,200000,6000000,73000000,2022-09-29,2023-08-09,Lagos
Tastefully 2/3 Bedroom Apartments,5 BEDROOM HOUSE FOR SHORTLET,Ozumba Mbadiwe Victoria Island Lagos,future-pride-homes-and-properties-ltd,"  150,000/day ", 3FXYN,False,True,True,5,5,5,150000,4500000,54750000,2022-01-20,2023-08-02,Lagos
Fully Detached Serviced 5 Bedroom Duplex,5 BEDROOM HOUSE FOR SHORTLET,Kolapo Isola Gra Ibadan Oyo,realvestandhomes,"  100,000/day ", 1GEYS,False,True,True,5,5,6,100000,3000000,36500000,2022-03-13,2023-08-12,Oyo
Baby Shower Venue,5 BEDROOM HOUSE FOR SHORTLET,Eleganza Gardens Estate Vgc Lekki Lagos,lovette,"  200,000/day ", 8JXLY,True,True,True,5,6,6,200000,6000000,73000000,2023-08-04,2023-08-13,Lagos
Detached 5 Bedroom Apartment,5 BEDROOM HOUSE FOR SHORTLET,Ikota Villa Ikota Lekki Lagos,higherground-realty,"  120,000/day ", 4HCGS,False,True,True,5,5,5,120000,3600000,43800000,2022-08-16,2023-08-13,Lagos
5 Bedroom Apartment,5 BEDROOM HOUSE FOR SHORTLET,"Professor Jubril Aminu, Parkview Estate Ikoyi Lagos",sarah-asuquo,"  200,000/day ", 2JVVR,False,True,True,5,5,6,200000,6000000,73000000,2023-07-24,2023-08-13,Lagos
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SHORTLET,Parkview Estate Ikoyi Lagos,acas-homez1,"  250,000/day ", 9JWTB,False,True,True,5,5,5,250000,7500000,91250000,2023-07-31,2023-08-13,Lagos
5 Bedroom Duplex,5 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Phase 1 Lekki Lagos,kennedy-otunku,"  220,000 ", 2GBVQ,False,False,False,5,5,6,220000,2640000,80300000,2022-02-17,2023-08-11,Lagos
Luxurious New 5 Bedroom Duplex With Swimming Pool Comes With Two Living Rooms,5 BEDROOM FLAT / APARTMENT FOR SHORTLET, Lekki Phase 1 Lekki Lagos,franklin15,"  160,000/day ", 0ERTH,False,False,True,5,5,6,160000,4800000,58400000,2021-05-17,2023-08-11,Lagos
Luxury 5 Bedroom Duplex,5 BEDROOM HOUSE FOR SHORTLET,Osapa London Lekki Lagos,kennedy-otunku,"  180,000/day ", 3ESKY,False,False,False,5,0,0,180000,5400000,65700000,2021-05-21,2023-08-11,Lagos
5 Bedroom Duplex Shortlet Apartment,5 BEDROOM HOUSE FOR SHORTLET,New Bodija Bodija Ibadan Oyo,mrmideoseni-homes-properties,"  200,000/day ", 2JGZS,True,True,True,5,5,6,200000,6000000,73000000,2023-04-16,2023-08-12,Oyo
5 Bedroom Mansion,5 BEDROOM HOUSE FOR SHORTLET,Ikota Lekki Lagos,kim-thompson-,"  110,000/day ", 3HFKZ,True,True,True,5,5,6,110000,3300000,40150000,2022-09-09,2023-08-09,Lagos
5 Bedroom Duplex Penthouse,5 BEDROOM HOUSE FOR SHORTLET,Salvation Road Opebi Ikeja Lagos,shelters-apartment,"  100,000/day ", 2HMJM,True,True,True,5,0,0,100000,3000000,36500000,2022-10-26,2023-08-09,Lagos
4bedroom Tarrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ikate Lekki Lagos,megalux-homes,"  85,000/day ", 4HJUJ,True,True,True,4,4,5,85000,2550000,31025000,2022-10-06,2023-08-09,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ikate Lekki Lagos,outstanding-real-estate-limited,"  120,000/day ", 6HRXY,True,True,True,4,4,5,120000,3600000,43800000,2022-12-02,2023-08-09,Lagos
4 Bedrooms Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Oniru Victoria Island Lagos,outstanding-real-estate-limited,"  145,000/day ", 2HJXQ,True,True,True,4,4,5,145000,4350000,52925000,2022-10-07,2023-08-09,Lagos
4 Bedroom Flat,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Chevron Lekki Lagos,lambe-and-eboigbe-properties,"  130,000/day ", 0HWQR,False,False,False,4,3,3,130000,3900000,47450000,2023-01-13,2023-08-09,Lagos
Furnished And Service 4bedroom Flat Penthouse Bfor Short Let,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Prime Water Garden 2 Lekki Phase 2 Lekki Lagos,provident-homes-realtor,"  160,000 ", 9EDBN,False,False,False,4,4,5,160000,1920000,58400000,2020-12-19,2023-08-09,Lagos
"Exquisite 4 Bedroom Duplex. Chevron, Lekki",4 BEDROOM HOUSE FOR SHORTLET,Chevron Lekki Lagos,property-magnate,"  95,000/day ", 0FRZM,False,True,True,4,5,5,95000,2850000,34675000,2021-11-21,2023-08-09,Lagos
4bedroom Semi Detached Penthouse,4 BEDROOM HOUSE FOR SHORTLET,Lekki Phase1 Lekki Phase 1 Lekki Lagos,distinct-pragmatic-limited,"  90,000/day ", 8EEPV,False,False,True,4,4,5,90000,2700000,32850000,2021-01-15,2023-07-31,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ologolo Lekki Lagos,megalux-homes,"  95,000/day ", 2HAED,False,True,True,4,4,5,95000,2850000,34675000,2022-07-31,2023-08-09,Lagos
Exclusive Furnished 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Idejo Adeola Odeku Victoria Island Lagos,kim-thompson-,"  150,000/day ", 0FAKJ,False,True,True,4,4,5,150000,4500000,54750000,2021-07-14,2023-08-09,Lagos
Furnish 4 Bedroom Terrace,4 BEDROOM HOUSE FOR SHORTLET,Oniru Oniru Victoria Island Lagos,kim-thompson-,"  140,000/day ", 1DVJK,True,True,True,4,4,5,140000,4200000,51100000,2020-09-10,2023-08-09,Lagos
Furnish 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Oral Estate Oral Estate Lekki Lagos,kim-thompson-,"  90,000/day ", 3GWHT,False,True,True,4,4,5,90000,2700000,32850000,2022-06-29,2023-08-09,Lagos
4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,kennedy-otunku,"  120,000/day ", 2HYUS,True,True,True,4,4,5,120000,3600000,43800000,2023-02-01,2023-08-11,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ikota Lekki Lagos,kim-thompson-,"  140,000/day ", 8JAQR,True,True,True,4,4,4,140000,4200000,51100000,2023-02-17,2023-08-09,Lagos
Furnished 4 Bedrooms Apartment,4 BEDROOM HOUSE FOR SHORTLET,Asokoro Abuja,joan-ama,"  160,000/day ", 6GQHM,False,True,True,4,4,5,160000,4800000,58400000,2022-05-21,2023-08-09,Abuja
Tastefully Furnished 4 Bedroom Fully Detached House For Shortlet Purposes,4 BEDROOM HOUSE FOR SHORTLET,Chevron Lekki Lagos,joeetoniru,"  95,000/day ", 4EVDU,False,False,False,4,4,5,95000,2850000,34675000,2021-06-10,2023-08-11,Lagos
Exclusive 4bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR SHORTLET, Ikate Lekki Lagos,kennedy-otunku,"  100,000/day ", 1EPZL,True,True,True,4,4,4,100000,3000000,36500000,2021-04-29,2023-08-11,Lagos
Haap Flex 4 Bedroom Shortlet At Bluewaters,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Bluewaters Apartment Lekki Phase 1 Lekki Lagos,ezekiel-bassey,"  150,000/day ", 9JBHM,False,False,True,4,4,1,150000,4500000,54750000,2023-02-24,2023-08-09,Lagos
Fully Furnished Penthouse With Swimming Pool,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Phase 1 Lekki Lagos,lambe-and-eboigbe-properties,"  170,000/day ", 4HYJR,False,True,False,4,4,5,170000,5100000,62050000,2023-01-28,2023-08-09,Lagos
Luxury 4 Bedroom Terrace,4 BEDROOM HOUSE FOR SHORTLET,Katampe Main Abuja,bright-innocent1,"  140,000/day ", 2GRGQ,False,True,True,4,4,5,140000,4200000,51100000,2022-05-26,2023-08-02,Abuja
Luxury 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Asokoro Abuja,bright-innocent1,"  100,000/day ", 5HVRC,True,True,True,4,4,5,100000,3000000,36500000,2023-01-06,2023-08-02,Abuja
3 Bedroom Penthouse,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Ikoyi Lagos,edgladhomescom,"  240,000/day ", 2JPYV,True,True,True,3,3,4,240000,7200000,87600000,2023-06-09,2023-08-11,Lagos
Beautiful 3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Adeola Odeku Victoria Island Lagos,property-magnate,"  110,000/day ", 0HVWS,False,True,True,3,4,4,110000,3300000,40150000,2023-01-09,2023-08-09,Lagos
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,First Unity Estate Badore Ajah Lagos,eniji,"  50,000/day ", 5JXKK,False,True,True,3,2,3,50000,1500000,18250000,2023-08-04,2023-08-11,Lagos
Executive New 3 Bedroom,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Eko Atlantic Victoria Island Lagos,franklin15,"  160,000/day ", 9FYRL,True,True,False,3,3,4,160000,4800000,58400000,2022-01-25,2023-08-11,Lagos
Luxury 3 Bedroom Apartment With Swimming Pool,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Oniru Victoria Island Lagos,franklin15,"  110,000/day ", 2GGBE,True,True,True,3,3,4,110000,3300000,40150000,2022-03-21,2023-08-11,Lagos
Newly Built 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Eko Atlantic Victoria Island Lagos,kennedy-otunku,"  160,000/day ", 4GEZH,True,True,True,3,3,3,160000,4800000,58400000,2022-03-13,2023-08-11,Lagos
Luxurious 2 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Oniru Victoria Island Lagos,kennedy-otunku,"  80,000/day ", 6HLYA,True,True,True,3,3,4,80000,2400000,29200000,2022-10-23,2023-08-11,Lagos
3 Bedroom Flat Apartment At Victoria Island,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Victoria Island Lagos,franklin15,"  90,000/day ", 6GDPV,True,True,True,3,3,3,90000,2700000,32850000,2022-03-03,2023-08-11,Lagos
Luxury 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Eleganza Ikota Lekki Lagos,best-idea-realty1,"  80,000/day ", 1HGKR,True,False,False,3,3,4,80000,2400000,29200000,2022-09-17,2023-08-09,Lagos
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Banana Island Ikoyi Lagos,kennedy-otunku,"  180,000/day ", 5HENQ,False,False,False,3,3,4,180000,5400000,65700000,2022-09-02,2023-08-11,Lagos
Luxury 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Banana Island Ikoyi Lagos,franklin15,"  170,000/day ", 1HFRY,True,True,True,3,3,4,170000,5100000,62050000,2022-09-12,2023-08-11,Lagos
3 Bedroom Bungalow,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Jakande Estate Isolo Lagos,demoore-properties,"  50,000/day ", 5JJHV,False,False,True,3,3,3,50000,1500000,18250000,2023-04-26,2023-08-09,Lagos
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Banana Island Ikoyi Lagos,tos-property-services,"  100,000/day ", 2JAQC,False,True,True,3,3,4,100000,3000000,36500000,2023-02-17,2023-08-11,Lagos
3 Bedroom Flat,3 BEDROOM HOUSE FOR SHORTLET,Ajao Estate Isolo Lagos,mr-doriwhally,"  60,000/day ", 5HBEE,False,True,True,3,3,4,60000,1800000,21900000,2022-08-08,2023-08-09,Lagos
Beautiful 3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,"Gra, Ikeja Lagos",property-magnate,"  80,000/day ", 7JKRT,False,True,True,3,4,4,80000,2400000,29200000,2023-05-06,2023-08-09,Lagos
3 Bedroom Serviced Apartment,3 BEDROOM HOUSE FOR SHORTLET,Kuola Off Akala Express Ibadan Oyo,first-homes-and-properties,"  60,000/day ", 7GLPH,True,False,False,3,3,4,60000,1800000,21900000,2022-04-23,2023-08-09,Oyo
Beautifully Designed Tastefully Finished And Furnished 3bedroom Apartment,3 BEDROOM HOUSE FOR SHORTLET,New Horizon Estate 1 Ikate Lekki Lagos,king-palace-consulting,"  70,000/day ", 1EHRK,True,True,True,3,3,4,70000,2100000,25550000,2021-02-19,2023-08-09,Lagos
"Exclusive 3bedroom Short Let Apartment In Lekki Ikate, Comes With Good Facilities And Modern Kitchen,",3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,kennedy-otunku,"  95,000/day ", 5FUPJ,False,True,True,3,3,4,95000,2850000,34675000,2021-12-13,2023-08-11,Lagos
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,kennedy-otunku,"  110,000/day ", 3GRWF,True,True,True,3,3,4,110000,3300000,40150000,2022-05-31,2023-08-11,Lagos
Executive Three Bedrooms Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,property-magnate,"  75,000/day ", 7FYJL,False,True,True,3,4,4,75000,2250000,27375000,2022-01-24,2023-08-09,Lagos
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Oregun Ikeja Lagos,property-magnate,"  65,000/day ", 8JXUR,False,False,False,3,4,4,65000,1950000,23725000,2023-08-07,2023-08-09,Lagos
Well Furnished 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,franklin15,"  80,000/day ", 1GERM,True,True,True,3,3,3,80000,2400000,29200000,2022-03-10,2023-08-11,Lagos
3 Bedroom Duplex,3 BEDROOM HOUSE FOR SHORTLET,Lekki Phase 1 Lekki Lagos,franklin15,"  140,000/day ", 0HENQ,False,True,True,3,3,4,140000,4200000,51100000,2022-09-02,2023-08-11,Lagos
Executive 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikoyi Lagos,kennedy-otunku,"  150,000/day ", 5GQSC,True,True,True,3,3,4,150000,4500000,54750000,2022-05-23,2023-08-11,Lagos
Beautiful 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Phase 1 Lekki Lagos,eniji,"  80,000/day ", 7JKHS,False,True,True,3,3,4,80000,2400000,29200000,2023-05-03,2023-08-11,Lagos
Well Furnished 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Parkview Estate Ikoyi Lagos,franklin15,"  120,000/day ", 8GFZK,True,True,True,3,3,3,120000,3600000,43800000,2022-03-20,2023-08-11,Lagos
Three Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Shangisha Kosofe Ikosi Lagos,property-magnate,"  65,000/day ", 1JRXD,True,True,True,3,4,4,65000,1950000,23725000,2023-06-23,2023-08-09,Lagos
Luxury 3bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Asokoro Abuja,bright-innocent1,"  120,000 ", 0GGNH,False,True,True,3,3,4,120000,1440000,43800000,2022-03-23,2023-08-02,Abuja
Executive 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Oniru Oniru Victoria Island Lagos,property-magnate,"  120,000/day ", 1HCAL,True,True,True,3,4,4,120000,3600000,43800000,2022-08-14,2023-08-09,Lagos
Luxury 3 Bedroom With 24 Hours Power & Security,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Oniru Victoria Island Lagos,kennedy-otunku,"  80,000 ", 9DQXR,True,True,True,3,3,4,80000,960000,29200000,2020-07-29,2023-08-11,Lagos
Cute 3 Bedroom Furnished Apartment In A Secured Location,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,"Owolaso Street, Papa Area Off Isebo Alakia Road Off New Ife Expressway Alakia Ibadan Oyo",zafiro-homes-and-events,"  55,000/day ", 0EVKW,False,True,True,3,2,3,55000,1650000,20075000,2021-06-11,2023-08-09,Oyo
Well Furnished 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Vgc Lekki Lagos,kennedy-otunku,"  75,000/day ", 7GKRM,True,True,True,3,3,3,75000,2250000,27375000,2022-04-16,2023-08-11,Lagos
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Banana Island Ikoyi Lagos,kennedy-otunku,"  170,000,000 ", 7HPYR,True,True,True,3,3,3,170000000,2040000000,62050000000,2022-11-17,2023-08-11,Lagos
New Luxury 3 Bedroom With Swimming Pool & Gym In Lekki Phase One,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Phase 1 Lekki Lagos,franklin15,"  90,000/day ", 6FYNK,True,True,True,3,3,4,90000,2700000,32850000,2022-01-25,2023-08-11,Lagos
3bedroom Apartment With Snooker Table,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Phase 1 Lekki Lagos,fesgomar-integrated-services,"  120,000/day ", 7FPPY,False,False,False,3,3,4,120000,3600000,43800000,2021-10-29,2023-07-31,Lagos
Luxurious 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Victoria Island Lagos,sacrealty,"  330,000/day ", 1GXTS,True,True,True,3,3,4,330000,9900000,120450000,2022-07-12,2023-08-11,Lagos
Luxurious 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,kennedy-otunku,"  130,000/day ", 9JFCW,True,True,True,3,3,4,130000,3900000,47450000,2023-03-31,2023-08-11,Lagos
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Lagos,kennedy-otunku,"  120,000/day ", 2HSMM,True,True,True,3,3,4,120000,3600000,43800000,2022-12-07,2023-08-11,Lagos
Executive 3 Bedroom With Pool And Good Facilities,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Oniru Victoria Island Lagos,kennedy-otunku,"  70,000 ", 3DREL,True,True,True,3,3,4,70000,840000,25550000,2020-08-01,2023-08-11,Lagos
Eko Atlantic City Short Let Apartment 24 Hours Electricity And Security Lovely Pool And Gym,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Eko Atlantic Victoria Island Lagos,kennedy-otunku,"  200,000/day ", 2DRYC,False,False,True,3,3,4,200000,6000000,73000000,2020-08-07,2023-08-11,Lagos
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,kennedy-otunku,"  90,000/day ", 7EZQP,False,False,True,3,3,4,90000,2700000,32850000,2021-07-09,2023-08-11,Lagos
Luxurious 3 Bedroom Short Let Apartment With 24 Hours Electricity And Security Paid Dstv,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Oniru Victoria Island Lagos,kennedy-otunku,"  85,000/day ", 5DULD,False,False,True,3,3,4,85000,2550000,31025000,2020-08-31,2023-08-11,Lagos
Available Luxury 3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SHORTLET, Ikate Lekki Lagos,kennedy-otunku,"  90,000/day ", 5EQGM,False,False,False,3,0,0,90000,2700000,32850000,2021-05-03,2023-08-11,Lagos
Luxury 3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,kennedy-otunku,"  85,000/day ", 1EUDK,False,False,True,3,3,4,85000,2550000,31025000,2021-06-03,2023-08-11,Lagos
Luxurious 3 Bedroom Duplex Inside A Secured Estate Comes With 24 Hours Electricity,3 BEDROOM HOUSE FOR SHORTLET,Ikate Lekki Lagos,franklin15,"  100,000/day ", 2FFLR,False,False,True,3,0,0,100000,3000000,36500000,2021-08-24,2023-08-11,Lagos
Furnished 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Banana Road Banana Island Ikoyi Lagos,cwre-ltd,"  160,000 ", 3GHJJ,False,False,True,3,3,4,160000,1920000,58400000,2022-03-29,2023-08-11,Lagos
New 3 Bedroom Apartment With Swimming Pool,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Parkview Estate Ikoyi Lagos,franklin15,"  140,000/day ", 7FVBL,False,True,True,3,3,4,140000,4200000,51100000,2021-12-18,2023-08-11,Lagos
Executive 3 Bedroom Duplex With Excellent Facilities,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Chevron Lekki Lagos,franklin15,"  85,000/day ", 6FRFJ,True,True,False,3,3,4,85000,2550000,31025000,2021-11-13,2023-08-11,Lagos
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Phase 1 Lekki Lagos,franklin15,"  110,000/day ", 5FRFR,False,True,True,3,3,4,110000,3300000,40150000,2021-11-13,2023-08-11,Lagos
Amazing 3 Bedroom In Banana Island With Good Facilities,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Banana Island Ikoyi Lagos,franklin15,"  160,000/day ", 3FSAH,False,True,True,3,3,4,160000,4800000,58400000,2021-11-21,2023-08-11,Lagos
4 Bedroom Flat,4 BEDROOM HOUSE FOR SHORTLET,Chevron Lekki Lagos,330,"  80,000/day ", 4JEWG,True,False,False,4,5,4,80000,2400000,29200000,2023-03-29,2023-08-13,Lagos
New 4 Bedroom Stand Alone Duplex With Good Facilities,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Parkview Estate Ikoyi Lagos,franklin15,"  170,000/day ", 8FUFL,True,True,True,4,4,5,170000,5100000,62050000,2021-12-10,2023-08-11,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lekki Lagos,best-idea-realty1,"  160,000/day ", 6GVMH,True,True,True,4,4,5,160000,4800000,58400000,2022-06-22,2023-08-09,Lagos
4 Bedroom For Shortlet,4 BEDROOM HOUSE FOR SHORTLET,Close To Police Station Ikeja Gra Ikeja Lagos,shelters-apartment,"  70,000/day ", 3HAUY,False,False,False,4,6,6,70000,2100000,25550000,2022-08-04,2023-08-09,Lagos
All New Service 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Chevron Chevron Lekki Lagos,kim-thompson-,"  130,000/day ", 6DWZP,True,True,True,4,4,5,130000,3900000,47450000,2020-09-29,2023-08-09,Lagos
Luxury 4 Bedroom Flat,4 BEDROOM FLAT / APARTMENT FOR SHORTLET, Osapa London Lekki Lagos,kennedy-otunku,"  140,000/day ", 6EQKA,False,False,False,4,0,0,140000,4200000,51100000,2021-05-04,2023-08-11,Lagos
Exclusive 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lekki Phase 1 Lekki Lagos,kennedy-otunku,"  120,000/day ", 3HSZA,True,True,True,4,4,5,120000,3600000,43800000,2022-12-12,2023-08-11,Lagos
Furnish 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Magodo Magodo Gra Phase 2 Kosofe Ikosi Lagos,kim-thompson-,"  95,000/day ", 6GCPJ,False,True,True,4,4,5,95000,2850000,34675000,2022-02-23,2023-08-09,Lagos
